Event Name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
Tower of now,Bradford - City Centre,weekly,08/09/2025,640161.17,91451.6,500354.6343,71479.23682,139806.5357,19972.36318,YES
Tower of now,Bradford - City Centre,weekly,08/09/2025,576421.53,82345.93,450535.2673,64362.17881,125886.2627,17983.75119,YES
Tower of now,Bradford - City Centre,weekly,09/09/2025,614764.91,87823.56,480504.7325,68643.53432,134260.1775,19180.02568,YES
Tower of now,Bradford - City Centre,weekly,10/09/2025,590098.16,84299.74,461225.0209,65889.29094,128873.1391,18410.44906,YES
Tower of now,Bradford - City Centre,weekly,11/09/2025,629863.5,89980.5,492305.9004,70329.41434,137557.5996,19651.08566,YES
Tower of now,Bradford - City Centre,weekly,12/09/2025,582317.25,83188.18,455143.405,65020.48755,127173.845,18167.69245,YES
Tower of now,Bradford - City Centre,weekly,13/09/2025,599238.47,85605.5,468369.1538,66909.88247,130869.3162,18695.61753,YES
Tower of now,Bradford - City Centre,weekly,14/09/2025,575208.51,82172.64,449587.162,64226.73408,125621.348,17945.90592,YES
Tower of now,Bradford - City Centre,weekly,15/09/2025,601887.49,85983.93,470439.6472,67205.66611,131447.8428,18778.26389,YES
Tower of now,Bradford - City Centre,weekly,15/09/2025,576064.87,82294.98,450256.4992,64322.35592,125808.3708,17972.62408,YES
Tower of now,Bradford - City Centre,weekly,16/09/2025,588519.9,84074.27,459991.4414,65713.06195,128528.4586,18361.20805,YES
Tower of now,Bradford - City Centre,weekly,17/09/2025,564141.08,80591.58,440936.7781,62990.96607,123204.3019,17600.61393,YES
Tower of now,Bradford - City Centre,weekly,18/09/2025,595271.13,85038.73,465268.252,66466.89091,130002.878,18571.83909,YES
Tower of now,Bradford - City Centre,weekly,19/09/2025,565446.88,80778.13,441957.4009,63136.77491,123489.4791,17641.35509,YES
Tower of now,Bradford - City Centre,weekly,20/09/2025,595033.01,85004.72,465082.1357,66440.30844,129950.8743,18564.41156,YES
Tower of now,Bradford - City Centre,weekly,21/09/2025,611738.88,87391.27,478139.5654,68305.65331,133599.3146,19085.61669,YES
Tower of now,Bradford - City Centre,weekly,22/09/2025,611175.95,87310.85,477699.5752,68242.79645,133476.3748,19068.05355,YES
Tower of now,Bradford - City Centre,weekly,22/09/2025,592668.62,84666.95,463234.1112,66176.30495,129434.5088,18490.64505,YES
Tower of now,Bradford - City Centre,weekly,23/09/2025,569114.39,81302.06,444823.9534,63546.28241,124290.4366,17755.77759,YES
Tower of now,Bradford - City Centre,weekly,24/09/2025,611780.11,87397.16,478171.791,68310.25698,133608.319,19086.90302,YES
Tower of now,Bradford - City Centre,weekly,25/09/2025,596043.34,85149.05,465871.8169,66553.11782,130171.5231,18595.93218,YES
Tower of now,Bradford - City Centre,weekly,26/09/2025,612191.75,87455.96,478493.5319,68356.21549,133698.2181,19099.74451,YES
Tower of now,Bradford - City Centre,weekly,27/09/2025,586572,83796,458468.9486,65495.56409,128103.0514,18300.43591,YES
Tower of now,Bradford - City Centre,weekly,28/09/2025,632329.51,90332.79,494233.3518,70604.76677,138096.1582,19728.02323,YES
Tower of now,Bradford - City Centre,weekly,29/09/2025,586621.22,83803.03,458507.4193,65501.05879,128113.8007,18301.97121,YES
Tower of now,Bradford - City Centre,weekly,29/09/2025,632223.56,90317.65,494150.5405,70592.93324,138073.0195,19724.71676,YES
